Vazao (MOPS) 8000000
num_threads, 1, 2, 3, 4, 5, 6, 7, 8
run 1, 0.29, 0.16, 0.18, 0.16, 0.13, 0.12, 0.11, 0.07
run 2, 0.27, 0.20, 0.18, 0.16, 0.12, 0.12, 0.11, 0.07
run 3, 0.28, 0.21, 0.20, 0.16, 0.13, 0.12, 0.11, 0.07
run 4, 0.29, 0.17, 0.16, 0.13, 0.13, 0.12, 0.11, 0.07
run 5, 0.28, 0.25, 0.16, 0.17, 0.13, 0.12, 0.11, 0.07
run 6, 0.24, 0.24, 0.21, 0.15, 0.13, 0.12, 0.11, 0.07
run 7, 0.25, 0.24, 0.17, 0.16, 0.14, 0.11, 0.11, 0.07
run 8, 0.25, 0.24, 0.21, 0.17, 0.13, 0.12, 0.11, 0.07
run 9, 0.19, 0.25, 0.18, 0.14, 0.14, 0.12, 0.11, 0.07
run 10, 0.27, 0.24, 0.20, 0.14, 0.12, 0.12, 0.11, 0.07
